threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.06,0.35,0.97,0.52,0.57
0.11,0.39,0.94,0.55,0.63
0.17,0.42,0.92,0.57,0.67
0.22,0.43,0.91,0.59,0.7
0.28,0.45,0.89,0.6,0.72
0.33,0.46,0.88,0.61,0.73
0.39,0.48,0.86,0.62,0.75
0.44,0.51,0.84,0.63,0.77
0.5,0.53,0.8,0.64,0.78
0.56,0.58,0.74,0.65,0.81
0.61,0.6,0.68,0.64,0.82
0.67,0.65,0.63,0.64,0.83
0.72,0.68,0.52,0.59,0.83
0.78,0.72,0.46,0.56,0.83
0.83,0.68,0.33,0.44,0.8
0.89,0.72,0.23,0.35,0.8
0.94,0.86,0.05,0.09,0.77
1.0,0.0,0.0,0.0,0.76
