threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.05,0.3,1.0,0.46,0.44
0.1,0.33,0.99,0.5,0.52
0.15,0.35,0.98,0.52,0.57
0.2,0.37,0.96,0.53,0.59
0.25,0.39,0.93,0.55,0.63
0.3,0.4,0.93,0.56,0.65
0.35,0.42,0.91,0.58,0.68
0.4,0.45,0.89,0.6,0.72
0.45,0.47,0.87,0.61,0.73
0.5,0.49,0.85,0.62,0.75
0.55,0.52,0.82,0.63,0.78
0.6,0.53,0.78,0.63,0.78
0.65,0.55,0.74,0.63,0.79
0.7,0.57,0.69,0.62,0.8
0.75,0.59,0.62,0.6,0.81
0.8,0.61,0.53,0.57,0.81
0.85,0.69,0.46,0.55,0.82
0.9,0.74,0.33,0.46,0.81
0.95,0.75,0.14,0.23,0.78
1.0,1.0,0.01,0.02,0.76
