threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.05,0.3,1.0,0.46,0.43
0.1,0.34,1.0,0.51,0.54
0.15,0.37,0.97,0.53,0.59
0.2,0.39,0.95,0.55,0.63
0.25,0.41,0.95,0.58,0.67
0.3,0.43,0.93,0.59,0.69
0.35,0.44,0.92,0.6,0.7
0.4,0.45,0.88,0.6,0.71
0.45,0.46,0.85,0.6,0.73
0.5,0.49,0.82,0.61,0.75
0.55,0.52,0.79,0.62,0.77
0.6,0.54,0.74,0.63,0.79
0.65,0.59,0.72,0.64,0.81
0.7,0.62,0.65,0.64,0.82
0.75,0.66,0.56,0.6,0.82
0.8,0.68,0.46,0.55,0.82
0.85,0.7,0.36,0.48,0.81
0.9,0.79,0.25,0.38,0.8
0.95,0.7,0.06,0.11,0.77
1.0,0.0,0.0,0.0,0.76
