threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.06,0.34,0.98,0.5,0.54
0.11,0.38,0.97,0.54,0.61
0.17,0.41,0.94,0.57,0.66
0.22,0.42,0.91,0.58,0.68
0.28,0.44,0.91,0.59,0.7
0.33,0.46,0.9,0.61,0.73
0.39,0.49,0.88,0.63,0.75
0.44,0.5,0.85,0.63,0.76
0.5,0.51,0.81,0.62,0.77
0.56,0.52,0.76,0.62,0.77
0.61,0.55,0.72,0.62,0.79
0.67,0.57,0.66,0.61,0.8
0.72,0.6,0.58,0.59,0.81
0.78,0.67,0.51,0.58,0.82
0.83,0.71,0.4,0.51,0.82
0.89,0.73,0.32,0.45,0.81
0.94,0.81,0.11,0.19,0.78
1.0,0.0,0.0,0.0,0.76
