threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.05,0.31,0.99,0.47,0.46
0.1,0.35,0.99,0.52,0.56
0.15,0.38,0.98,0.55,0.62
0.2,0.41,0.97,0.58,0.66
0.25,0.43,0.95,0.59,0.69
0.3,0.44,0.93,0.6,0.7
0.35,0.45,0.92,0.61,0.72
0.4,0.47,0.9,0.62,0.74
0.45,0.49,0.85,0.62,0.75
0.5,0.51,0.83,0.63,0.77
0.55,0.52,0.78,0.62,0.77
0.6,0.54,0.71,0.61,0.79
0.65,0.57,0.68,0.62,0.8
0.7,0.59,0.62,0.6,0.81
0.75,0.63,0.56,0.59,0.82
0.8,0.7,0.5,0.59,0.83
0.85,0.75,0.38,0.5,0.82
0.9,0.77,0.25,0.38,0.8
0.95,0.81,0.09,0.17,0.78
1.0,0.0,0.0,0.0,0.76
