threshold,precision,recall,f1,accuracy
0.0,0.24,1.0,0.39,0.24
0.05,0.33,0.97,0.49,0.51
0.1,0.34,0.94,0.5,0.55
0.15,0.35,0.92,0.5,0.57
0.2,0.35,0.91,0.51,0.58
0.25,0.36,0.9,0.51,0.59
0.3,0.37,0.9,0.52,0.61
0.35,0.37,0.89,0.52,0.62
0.4,0.38,0.87,0.53,0.62
0.45,0.38,0.87,0.53,0.63
0.5,0.39,0.87,0.54,0.64
0.55,0.39,0.85,0.53,0.64
0.6,0.4,0.84,0.54,0.66
0.65,0.4,0.83,0.54,0.67
0.7,0.41,0.81,0.54,0.67
0.75,0.41,0.79,0.54,0.68
0.8,0.42,0.78,0.55,0.69
0.85,0.43,0.75,0.55,0.7
0.9,0.46,0.74,0.56,0.73
0.95,0.48,0.69,0.57,0.75
1.0,0.0,0.0,0.0,0.76
